상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220805891357,귤곳간,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,50,제주특별자치도,50130,서귀포시,50130253,남원읍,5013025321,남원읍,5.01303E+18,1,대지,2140,5,제주특별자치도 서귀포시 남원읍 남원리 2140-5,5.01303E+11,제주특별자치도 서귀포시 남원읍 남위남성로,165,null,5.01303E+24,,제주특별자치도 서귀포시 남원읍 남위남성로 165,699941,63619,,null,,126.6933454,33.28952405
MA010120220805893588,투모먼트세븐,,G2,소매,G209,섬유·의복·신발 소매,G20907,액세서리/잡화 소매업,G47422,의복 액세서리 및 모조 장신구 소매업,50,제주특별자치도,50110,제주시,50110630,아라동,5011013600,영평동,5.01101E+18,1,대지,1877,1,제주특별자치도 제주시 영평동 1877-1,5.01103E+11,제주특별자치도 제주시 아봉로,239,null,5.01101E+24,,제주특별자치도 제주시 아봉로 239,690140,63308,,null,,126.5680726,33.47700111
MA010120220805891557,케이선영헤어,,S2,수리·개인,S207,이용·미용,S20701,미용실,S96112,두발 미용업,50,제주특별자치도,50110,제주시,50110550,삼도1동,5011010500,삼도일동,5.01101E+18,1,대지,552,22,제주특별자치도 제주시 삼도일동 552-22,5.01103E+11,제주특별자치도 제주시 서광로,235,1,5.01101E+24,,제주특별자치도 제주시 서광로 235-1,690846,63182,,1,,126.5217213,33.50002404
MA010120220805888695,칠십리호텔,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,50,제주특별자치도,50130,서귀포시,50130520,정방동,5013010100,서귀동,5.01301E+18,1,대지,432,3,제주특별자치도 서귀포시 서귀동 432-3,5.01305E+11,제주특별자치도 서귀포시 태평로353번길,22,3,5.01301E+24,,제주특별자치도 서귀포시 태평로353번길 22-3,697841,63595,,null,,126.5613167,33.24717781
MA010120220805888339,위미스테이,,I1,숙박,I101,일반 숙박,I10103,펜션,I55104,민박업,50,제주특별자치도,50130,서귀포시,50130253,남원읍,5013025327,남원읍,5.01303E+18,1,대지,2845,null,제주특별자치도 서귀포시 남원읍 위미리 2845,5.01303E+11,제주특별자치도 서귀포시 남원읍 태위로,116,1,5.01303E+24,,제주특별자치도 서귀포시 남원읍 태위로 116-1,699944,63611,,null,,126.6597253,33.27452368
MA010120220805888517,베이스노트,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,50,제주특별자치도,50110,제주시,50110650,연동,5011013700,연동,5.01101E+18,1,대지,322,10,제주특별자치도 제주시 연동 322-10,5.01105E+11,제주특별자치도 제주시 선덕로5길,21,null,5.01101E+24,,제주특별자치도 제주시 선덕로5길 21,690815,63121,,1,,126.5001311,33.48772859
MA010120220805889098,로에프컨설팅,,M1,과학·기술,M107,본사·경영 컨설팅,M10703,경영 컨설팅업,M71531,경영 컨설팅업,50,제주특별자치도,50130,서귀포시,50130259,성산읍,5013025922,성산읍,5.01303E+18,1,대지,896,null,제주특별자치도 서귀포시 성산읍 오조리 896,5.01305E+11,제주특별자치도 서귀포시 성산읍 오조로41번길,20,7,5.01303E+24,,제주특별자치도 서귀포시 성산읍 오조로41번길 20-7,699906,63639,,null,,126.9138312,33.45951464
MA010120220805888012,기타 교육지원 서비스업,,P1,교육,P107,교육 지원,P10799,기타 교육지원 서비스업,P85709,기타 교육지원 서비스업,50,제주특별자치도,50130,서귀포시,50130250,대정읍,5013025029,대정읍,5.01303E+18,1,대지,2477,null,제주특별자치도 서귀포시 대정읍 보성리 2477,5.01303E+11,제주특별자치도 서귀포시 대정읍 글로벌에듀로,370,null,5.01303E+24,이노에듀파크,제주특별자치도 서귀포시 대정읍 글로벌에듀로 370,699931,63644,,1,,126.2783001,33.28071687
MA010120220805889771,우도자연,,I2,음식,I202,중식,I20201,중국집,I56121,중식 음식점업,50,제주특별자치도,50110,제주시,50110330,우도면,5011033021,우도면,5.01103E+18,1,대지,797,null,제주특별자치도 제주시 우도면 연평리 797,5.01105E+11,제주특별자치도 제주시 우도면 우도해안길,602,null,5.01103E+24,,제주특별자치도 제주시 우도면 우도해안길 602,695980,63365,,null,,126.9526034,33.52441415
MA010120220805889014,플러스디자인,,M1,과학·기술,M112,전문 디자인,M11204,패션/섬유/기타 전문 디자인업,M73209,"패션, 섬유류 및 기타 전문 디자인업",50,제주특별자치도,50110,제주시,50110600,화북동,5011011200,화북이동,5.01101E+18,1,대지,5072,null,제주특별자치도 제주시 화북이동 5072,5.01103E+11,제주특별자치도 제주시 번영로,51,null,5.01101E+24,,제주특별자치도 제주시 번영로 51,690061,63295,,null,,126.5528266,33.50941607
MA010120220805888810,제주담스테이,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,I55102,여관업,50,제주특별자치도,50110,제주시,50110560,삼도2동,5011010600,삼도이동,5.01101E+18,1,대지,1183,2,제주특별자치도 제주시 삼도이동 1183-2,5.01105E+11,제주특별자치도 제주시 중앙로2길,35,1,5.01101E+24,,제주특별자치도 제주시 중앙로2길 35-1,690808,63166,,null,,126.5210826,33.51732658
MA010120220805912886,락희가요방,,I2,음식,I211,주점,I21101,일반 유흥 주점,I56211,일반 유흥 주점업,50,제주특별자치도,50130,서귀포시,50130530,중앙동,5013010100,서귀동,5.01301E+18,1,대지,272,41,제주특별자치도 서귀포시 서귀동 272-41,5.01305E+11,제주특별자치도 서귀포시 중정로91번길,11,null,5.01301E+24,과일즙,제주특별자치도 서귀포시 중정로91번길 11,697843,63591,,null,,126.5654136,33.2492718
MA010120220805906500,담을깨비방망이오리날개튀김,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,50,제주특별자치도,50110,제주시,50110650,연동,5011013700,연동,5.01101E+18,1,대지,1500,null,제주특별자치도 제주시 연동 1500,5.01105E+11,제주특별자치도 제주시 국기로2길,4,null,5.01101E+24,,제주특별자치도 제주시 국기로2길 4,690817,63139,,1,,126.4903249,33.47990108
MA010120220805898818,정소암식당,,I2,음식,I201,한식,I20107,돼지고기 구이/찜,I56113,한식 육류 요리 전문점,50,제주특별자치도,50130,서귀포시,50130320,표선면,5013032023,표선면,5.01303E+18,1,대지,1624,17,제주특별자치도 서귀포시 표선면 성읍리 1624-17,5.01303E+11,제주특별자치도 서귀포시 표선면 서성일로,21,null,5.01303E+24,,제주특별자치도 서귀포시 표선면 서성일로 21,699915,63624,,null,,126.8008754,33.39370998
MA010120220805899369,펫마트,,G2,소매,G220,애완동물·용품 소매,G22001,애완동물/애완용품 소매업,G47852,애완용 동물 및 관련용품 소매업,50,제주특별자치도,50130,서귀포시,50130580,서홍동,5013010600,서홍동,5.01301E+18,1,대지,1163,null,제주특별자치도 서귀포시 서홍동 1163,5.01303E+11,제주특별자치도 서귀포시 일주동로,8766,null,5.01301E+24,,제주특별자치도 서귀포시 일주동로 8766,697852,63583,,null,,126.5524648,33.25234951
MA010120220805899596,디테이스트DTASTE,,M1,과학·기술,M112,전문 디자인,M11203,시각 디자인업,M73203,시각 디자인업,50,제주특별자치도,50130,서귀포시,50130310,안덕면,5013031025,안덕면,5.01303E+18,1,대지,2294,16,제주특별자치도 서귀포시 안덕면 사계리 2294-16,5.01305E+11,제주특별자치도 서귀포시 안덕면 사계남로84번길,16,2,5.01303E+24,,제주특별자치도 서귀포시 안덕면 사계남로84번길 16-2,699924,63528,,1,,126.299577,33.22575275
MA010120220805899557,라움,,S2,수리·개인,S207,이용·미용,S20701,미용실,S96112,두발 미용업,50,제주특별자치도,50110,제주시,50110660,노형동,5011012200,노형동,5.01101E+18,1,대지,3798,4,제주특별자치도 제주시 노형동 3798-4,5.01103E+11,제주특별자치도 제주시 정원로,16,null,5.01101E+24,,제주특별자치도 제주시 정원로 16,690805,63088,,1,,126.4782542,33.48048372
