상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220805539982,2층맥주,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,29,광주광역시,29140,서구,29140745,치평동,2914012000,치평동,2.91401E+18,1,대지,1320,2,광주광역시 서구 치평동 1320-2,2.91404E+11,광주광역시 서구 상무화원로32번길,25,11,2.91401E+24,유성빌딩,광주광역시 서구 상무화원로32번길 25-11,502828,61961,,2,,126.8454628,35.14624288
MA010120220805539016,마인,,P1,교육,P107,교육 지원,P10701,교육컨설팅업,P85701,교육관련 자문 및 평가업,29,광주광역시,29155,남구,29155537,봉선1동,2915511500,봉선동,2.91551E+18,1,대지,1010,7,광주광역시 남구 봉선동 1010-7,2.91553E+11,광주광역시 남구 봉선1로,34,1,2.91551E+24,,광주광역시 남구 봉선1로 34-1,503847,61695,,2,,126.9089879,35.12766792
MA010120220805539098,꼬치와닭갈비,,I2,음식,I210,기타 간이,I21099,그 외 기타 간이 음식점,I56199,간이 음식 포장 판매 전문점,29,광주광역시,29110,동구,29110545,동명동,2911010800,동명동,2.91101E+18,1,대지,137,3,광주광역시 동구 동명동 137-3,2.91103E+11,광주광역시 동구 백서로,220,null,2.91101E+24,,광주광역시 동구 백서로 220,501813,61467,,1,,126.9266037,35.14725927
MA010120220805539185,미래경영컨설팅,,M1,과학·기술,M107,본사·경영 컨설팅,M10703,경영 컨설팅업,M71531,경영 컨설팅업,29,광주광역시,29170,북구,29170696,양산동,2917012900,연제동,2.91701E+18,1,대지,1038,6,광주광역시 북구 연제동 1038-6,2.91703E+11,광주광역시 북구 첨단연신로,45,null,2.91701E+24,,광주광역시 북구 첨단연신로 45,500896,61089,,11,,126.8632653,35.20127832
MA010120220805539566,제니골드,,G2,소매,G217,시계·귀금속 소매,G21701,시계/귀금속 소매업,G47830,시계 및 귀금속 소매업,29,광주광역시,29110,동구,29110525,충장동,2911013000,충장로4가,2.91101E+18,1,대지,3,3,광주광역시 동구 충장로4가 3-3,2.91103E+11,광주광역시 동구 충장로,45,2,2.91101E+24,,광주광역시 동구 충장로 45-2,501014,61481,,null,,126.9134481,35.15035998
MA010120220805542845,르뽀렘,,G2,소매,G217,시계·귀금속 소매,G21701,시계/귀금속 소매업,G47830,시계 및 귀금속 소매업,29,광주광역시,29140,서구,29140770,화정2동,2914011900,화정동,2.91401E+18,1,대지,1390,null,광주광역시 서구 화정동 1390,2.91403E+11,광주광역시 서구 금화로,385,7,2.91401E+24,,광주광역시 서구 금화로 385-7,502846,62047,,1,,126.8874933,35.14225532
MA010120220805541717,나을재활운동센터,,Q1,보건의료,Q104,기타 보건,Q10402,유사 의료업,Q86902,유사 의료업,29,광주광역시,29170,북구,29170697,신용동,2917013000,신용동,2.91701E+18,1,대지,694,null,광주광역시 북구 신용동 694,2.91704E+11,광주광역시 북구 첨단연신로107번길,45,22,2.91701E+24,,광주광역시 북구 첨단연신로107번길 45-22,500832,61087,,2,,126.8606441,35.20653576
MA010120220805541290,다온수산,,I2,음식,I201,한식,I20111,횟집,I56114,한식 해산물 요리 전문점,29,광주광역시,29140,서구,29140760,화정1동,2914012100,내방동,2.91401E+18,1,대지,477,3,광주광역시 서구 내방동 477-3,2.91403E+11,광주광역시 서구 내방로,288,null,2.91401E+24,,광주광역시 서구 내방로 288,502808,61971,,null,,126.8721509,35.15745509
MA010120220805541426,워시피플셀프빨래방광주,,S2,수리·개인,S209,세탁,S20902,셀프 빨래방,S96912,가정용 세탁업,29,광주광역시,29170,북구,29170696,양산동,2917012800,양산동,2.91701E+18,1,대지,814,null,광주광역시 북구 양산동 814,2.91704E+11,광주광역시 북구 양산택지로37번길,34,null,2.91701E+24,,광주광역시 북구 양산택지로37번길 34,500895,61071,,1,,126.8761179,35.21053828
MA010120220805541488,옥앤터치,,G2,소매,G215,의약·화장품 소매,G21503,화장품 소매업,G47813,"화장품, 비누 및 방향제 소매업",29,광주광역시,29110,동구,29110655,서남동,2911011800,서석동,2.91101E+18,1,대지,427,8,광주광역시 동구 서석동 427-8,2.91104E+11,광주광역시 동구 필문대로289번길,2,2,2.91101E+24,,광주광역시 동구 필문대로289번길 2-2,501825,61449,,1,,126.9270861,35.145623
