상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220805532956,신연우헤어샵,,S2,수리·개인,S207,이용·미용,S20701,미용실,S96112,두발 미용업,47,경상북도,47190,구미시,47190253,고아읍,4719025332,고아읍,4.71903E+18,1,대지,1796,null,경상북도 구미시 고아읍 문성리 1796,4.71903E+11,경상북도 구미시 고아읍 문성로,30,null,4.71903E+24,서희스타힐스,경상북도 구미시 고아읍 문성로 30,730814,39147,,2,,128.3453701,36.1530279
MA010120220805534357,데이위드미,,G2,소매,G209,섬유·의복·신발 소매,G20905,기타 의류 소매업,G47414,셔츠 및 블라우스 소매업,47,경상북도,47170,안동시,47170510,중구동,4717012400,목성동,4.71701E+18,1,대지,38,5,경상북도 안동시 목성동 38-5,4.71703E+11,경상북도 안동시 퇴계로,101,null,4.71701E+24,,경상북도 안동시 퇴계로 101,760190,36691,,2,,128.7291535,36.56709389
MA010120220805536559,세계여행사,,N1,시설관리·임대,N105,여행사·보조,N10501,여행사,N75210,여행사업,47,경상북도,47770,영덕군,47770250,영덕읍,4777025024,영덕읍,4.77703E+18,1,대지,151,12,경상북도 영덕군 영덕읍 덕곡리 151-12,4.77705E+11,경상북도 영덕군 영덕읍 강변길,58,null,4.77703E+24,,경상북도 영덕군 영덕읍 강변길 58,766804,36432,,2,,129.370895,36.41084769
MA010120220805536818,소중가치,,M1,과학·기술,M105,광고,M10501,광고 대행업,M71310,광고 대행업,47,경상북도,47170,안동시,47170600,태화동,4717012200,태화동,4.71701E+18,1,대지,666,56,경상북도 안동시 태화동 666-56,4.71705E+11,경상북도 안동시 포도7길,24,null,4.71701E+24,,경상북도 안동시 포도7길 24,760905,36645,,null,,128.7090589,36.56878319
MA010120220805537638,박창호수학교습소,,P1,교육,P105,일반 교육,P10501,입시·교과학원,P85501,일반 교과학원,47,경상북도,47113,포항시 북구,47113690,두호동,4711312000,두호동,4.71131E+18,1,대지,990,5,경상북도 포항시 북구 두호동 990-5,4.71135E+11,경상북도 포항시 북구 새천년대로1020번길,3,null,4.71131E+24,메가시티상가,경상북도 포항시 북구 새천년대로1020번길 3,791803,37710,,1,,129.3709069,36.05983778
MA010120220805536514,라인웨딩,,S2,수리·개인,S211,기타 개인,S21105,결혼 상담 서비스업,S96994,결혼 상담 및 준비 서비스업,47,경상북도,47190,구미시,47190670,인동동,4719012000,구평동,4.71901E+18,1,대지,551,13,경상북도 구미시 구평동 551-13,4.71905E+11,경상북도 구미시 인동35길,32,null,4.71901E+24,건강타운,경상북도 구미시 인동35길 32,730300,39442,,1,,128.4345685,36.09699262
MA010120220805536346,엘리든경산,,G2,소매,G209,섬유·의복·신발 소매,G20905,기타 의류 소매업,G47419,기타 의복 소매업,47,경상북도,47290,경산시,47290510,중방동,4729011700,중방동,4.72901E+18,1,대지,855,9,경상북도 경산시 중방동 855-9,4.72905E+11,경상북도 경산시 중앙로15길,21,null,4.72901E+24,,경상북도 경산시 중앙로15길 21,712803,38623,,null,,128.734178,35.82474484
MA010120220805536042,원스,,N1,시설관리·임대,N104,고용 알선,N10402,임시/일용 인력 공급업,N75121,임시 및 일용 인력 공급업,47,경상북도,47113,포항시 북구,47113655,죽도동,4711311600,죽도동,4.71131E+18,1,대지,628,10,경상북도 포항시 북구 죽도동 628-10,4.71133E+11,경상북도 포항시 북구 양학천로,59,3,4.71131E+24,,경상북도 포항시 북구 양학천로 59-3,791843,37780,,null,,129.3580773,36.02178958
MA010120220805536237,영주적십자병원,,Q1,보건의료,Q101,병원,Q10101,종합병원,Q86101,종합병원,47,경상북도,47210,영주시,47210630,가흥2동,4721010500,가흥동,4.72101E+18,1,대지,2052,null,경상북도 영주시 가흥동 2052,4.72103E+11,경상북도 영주시 대학로,327,null,4.72101E+24,영주적십자병원,경상북도 영주시 대학로 327,750022,36058,,null,,128.6038953,36.82533832
MA010120220805535230,벙글다,,I2,음식,I210,기타 간이,I21001,빵/도넛,I56191,제과점업,47,경상북도,47190,구미시,47190510,송정동,4719011000,송정동,4.71901E+18,1,대지,455,null,경상북도 구미시 송정동 455,4.71902E+11,경상북도 구미시 송정대로,110,null,4.71901E+24,한라하우젠트송정,경상북도 구미시 송정대로 110,730915,39279,,1,,128.3500963,36.11617837
